Month,Scenario,District,Net_migration_monthly
2025-07-01,Base,AucklandCity,174.22183421516755
2025-07-01,Base,Franklin,174.22183421516755
2025-07-01,Base,Manukau,174.22183421516755
2025-07-01,Base,NorthShore,174.22183421516755
2025-07-01,Base,Papakura,174.22183421516755
2025-07-01,Base,Rodney,174.22183421516755
2025-07-01,Base,Waitakere,174.22183421516755
2025-08-01,Base,AucklandCity,174.22183421516755
2025-08-01,Base,Franklin,174.22183421516755
2025-08-01,Base,Manukau,174.22183421516755
2025-08-01,Base,NorthShore,174.22183421516755
2025-08-01,Base,Papakura,174.22183421516755
2025-08-01,Base,Rodney,174.22183421516755
2025-08-01,Base,Waitakere,174.22183421516755
2025-09-01,Base,AucklandCity,174.22183421516755
2025-09-01,Base,Franklin,174.22183421516755
2025-09-01,Base,Manukau,174.22183421516755
2025-09-01,Base,NorthShore,174.22183421516755
2025-09-01,Base,Papakura,174.22183421516755
2025-09-01,Base,Rodney,174.22183421516755
2025-09-01,Base,Waitakere,174.22183421516755
2025-10-01,Base,AucklandCity,174.22183421516755
2025-10-01,Base,Franklin,174.22183421516755
2025-10-01,Base,Manukau,174.22183421516755
2025-10-01,Base,NorthShore,174.22183421516755
2025-10-01,Base,Papakura,174.22183421516755
2025-10-01,Base,Rodney,174.22183421516755
2025-10-01,Base,Waitakere,174.22183421516755
2025-11-01,Base,AucklandCity,174.22183421516755
2025-11-01,Base,Franklin,174.22183421516755
2025-11-01,Base,Manukau,174.22183421516755
2025-11-01,Base,NorthShore,174.22183421516755
2025-11-01,Base,Papakura,174.22183421516755
2025-11-01,Base,Rodney,174.22183421516755
2025-11-01,Base,Waitakere,174.22183421516755
2025-12-01,Base,AucklandCity,174.22183421516755
2025-12-01,Base,Franklin,174.22183421516755
2025-12-01,Base,Manukau,174.22183421516755
2025-12-01,Base,NorthShore,174.22183421516755
2025-12-01,Base,Papakura,174.22183421516755
2025-12-01,Base,Rodney,174.22183421516755
2025-12-01,Base,Waitakere,174.22183421516755
2026-01-01,Base,AucklandCity,174.22183421516755
2026-01-01,Base,Franklin,174.22183421516755
2026-01-01,Base,Manukau,174.22183421516755
2026-01-01,Base,NorthShore,174.22183421516755
2026-01-01,Base,Papakura,174.22183421516755
2026-01-01,Base,Rodney,174.22183421516755
2026-01-01,Base,Waitakere,174.22183421516755
2026-02-01,Base,AucklandCity,174.22183421516755
2026-02-01,Base,Franklin,174.22183421516755
2026-02-01,Base,Manukau,174.22183421516755
2026-02-01,Base,NorthShore,174.22183421516755
2026-02-01,Base,Papakura,174.22183421516755
2026-02-01,Base,Rodney,174.22183421516755
2026-02-01,Base,Waitakere,174.22183421516755
2026-03-01,Base,AucklandCity,174.22183421516755
2026-03-01,Base,Franklin,174.22183421516755
2026-03-01,Base,Manukau,174.22183421516755
2026-03-01,Base,NorthShore,174.22183421516755
2026-03-01,Base,Papakura,174.22183421516755
2026-03-01,Base,Rodney,174.22183421516755
2026-03-01,Base,Waitakere,174.22183421516755
2026-04-01,Base,AucklandCity,174.22183421516755
2026-04-01,Base,Franklin,174.22183421516755
2026-04-01,Base,Manukau,174.22183421516755
2026-04-01,Base,NorthShore,174.22183421516755
2026-04-01,Base,Papakura,174.22183421516755
2026-04-01,Base,Rodney,174.22183421516755
2026-04-01,Base,Waitakere,174.22183421516755
2026-05-01,Base,AucklandCity,174.22183421516755
2026-05-01,Base,Franklin,174.22183421516755
2026-05-01,Base,Manukau,174.22183421516755
2026-05-01,Base,NorthShore,174.22183421516755
2026-05-01,Base,Papakura,174.22183421516755
2026-05-01,Base,Rodney,174.22183421516755
2026-05-01,Base,Waitakere,174.22183421516755
2026-06-01,Base,AucklandCity,174.22183421516755
2026-06-01,Base,Franklin,174.22183421516755
2026-06-01,Base,Manukau,174.22183421516755
2026-06-01,Base,NorthShore,174.22183421516755
2026-06-01,Base,Papakura,174.22183421516755
2026-06-01,Base,Rodney,174.22183421516755
2026-06-01,Base,Waitakere,174.22183421516755
2025-07-01,High,AucklandCity,191.6440176366843
2025-07-01,High,Franklin,191.6440176366843
2025-07-01,High,Manukau,191.6440176366843
2025-07-01,High,NorthShore,191.6440176366843
2025-07-01,High,Papakura,191.6440176366843
2025-07-01,High,Rodney,191.6440176366843
2025-07-01,High,Waitakere,191.6440176366843
2025-08-01,High,AucklandCity,191.6440176366843
2025-08-01,High,Franklin,191.6440176366843
2025-08-01,High,Manukau,191.6440176366843
2025-08-01,High,NorthShore,191.6440176366843
2025-08-01,High,Papakura,191.6440176366843
2025-08-01,High,Rodney,191.6440176366843
2025-08-01,High,Waitakere,191.6440176366843
2025-09-01,High,AucklandCity,191.6440176366843
2025-09-01,High,Franklin,191.6440176366843
2025-09-01,High,Manukau,191.6440176366843
2025-09-01,High,NorthShore,191.6440176366843
2025-09-01,High,Papakura,191.6440176366843
2025-09-01,High,Rodney,191.6440176366843
2025-09-01,High,Waitakere,191.6440176366843
2025-10-01,High,AucklandCity,191.6440176366843
2025-10-01,High,Franklin,191.6440176366843
2025-10-01,High,Manukau,191.6440176366843
2025-10-01,High,NorthShore,191.6440176366843
2025-10-01,High,Papakura,191.6440176366843
2025-10-01,High,Rodney,191.6440176366843
2025-10-01,High,Waitakere,191.6440176366843
2025-11-01,High,AucklandCity,191.6440176366843
2025-11-01,High,Franklin,191.6440176366843
2025-11-01,High,Manukau,191.6440176366843
2025-11-01,High,NorthShore,191.6440176366843
2025-11-01,High,Papakura,191.6440176366843
2025-11-01,High,Rodney,191.6440176366843
2025-11-01,High,Waitakere,191.6440176366843
2025-12-01,High,AucklandCity,191.6440176366843
2025-12-01,High,Franklin,191.6440176366843
2025-12-01,High,Manukau,191.6440176366843
2025-12-01,High,NorthShore,191.6440176366843
2025-12-01,High,Papakura,191.6440176366843
2025-12-01,High,Rodney,191.6440176366843
2025-12-01,High,Waitakere,191.6440176366843
2026-01-01,High,AucklandCity,191.6440176366843
2026-01-01,High,Franklin,191.6440176366843
2026-01-01,High,Manukau,191.6440176366843
2026-01-01,High,NorthShore,191.6440176366843
2026-01-01,High,Papakura,191.6440176366843
2026-01-01,High,Rodney,191.6440176366843
2026-01-01,High,Waitakere,191.6440176366843
2026-02-01,High,AucklandCity,191.6440176366843
2026-02-01,High,Franklin,191.6440176366843
2026-02-01,High,Manukau,191.6440176366843
2026-02-01,High,NorthShore,191.6440176366843
2026-02-01,High,Papakura,191.6440176366843
2026-02-01,High,Rodney,191.6440176366843
2026-02-01,High,Waitakere,191.6440176366843
2026-03-01,High,AucklandCity,191.6440176366843
2026-03-01,High,Franklin,191.6440176366843
2026-03-01,High,Manukau,191.6440176366843
2026-03-01,High,NorthShore,191.6440176366843
2026-03-01,High,Papakura,191.6440176366843
2026-03-01,High,Rodney,191.6440176366843
2026-03-01,High,Waitakere,191.6440176366843
2026-04-01,High,AucklandCity,191.6440176366843
2026-04-01,High,Franklin,191.6440176366843
2026-04-01,High,Manukau,191.6440176366843
2026-04-01,High,NorthShore,191.6440176366843
2026-04-01,High,Papakura,191.6440176366843
2026-04-01,High,Rodney,191.6440176366843
2026-04-01,High,Waitakere,191.6440176366843
2026-05-01,High,AucklandCity,191.6440176366843
2026-05-01,High,Franklin,191.6440176366843
2026-05-01,High,Manukau,191.6440176366843
2026-05-01,High,NorthShore,191.6440176366843
2026-05-01,High,Papakura,191.6440176366843
2026-05-01,High,Rodney,191.6440176366843
2026-05-01,High,Waitakere,191.6440176366843
2026-06-01,High,AucklandCity,191.6440176366843
2026-06-01,High,Franklin,191.6440176366843
2026-06-01,High,Manukau,191.6440176366843
2026-06-01,High,NorthShore,191.6440176366843
2026-06-01,High,Papakura,191.6440176366843
2026-06-01,High,Rodney,191.6440176366843
2026-06-01,High,Waitakere,191.6440176366843
2025-07-01,Low,AucklandCity,156.79965079365078
2025-07-01,Low,Franklin,156.79965079365078
2025-07-01,Low,Manukau,156.79965079365078
2025-07-01,Low,NorthShore,156.79965079365078
2025-07-01,Low,Papakura,156.79965079365078
2025-07-01,Low,Rodney,156.79965079365078
2025-07-01,Low,Waitakere,156.79965079365078
2025-08-01,Low,AucklandCity,156.79965079365078
2025-08-01,Low,Franklin,156.79965079365078
2025-08-01,Low,Manukau,156.79965079365078
2025-08-01,Low,NorthShore,156.79965079365078
2025-08-01,Low,Papakura,156.79965079365078
2025-08-01,Low,Rodney,156.79965079365078
2025-08-01,Low,Waitakere,156.79965079365078
2025-09-01,Low,AucklandCity,156.79965079365078
2025-09-01,Low,Franklin,156.79965079365078
2025-09-01,Low,Manukau,156.79965079365078
2025-09-01,Low,NorthShore,156.79965079365078
2025-09-01,Low,Papakura,156.79965079365078
2025-09-01,Low,Rodney,156.79965079365078
2025-09-01,Low,Waitakere,156.79965079365078
2025-10-01,Low,AucklandCity,156.79965079365078
2025-10-01,Low,Franklin,156.79965079365078
2025-10-01,Low,Manukau,156.79965079365078
2025-10-01,Low,NorthShore,156.79965079365078
2025-10-01,Low,Papakura,156.79965079365078
2025-10-01,Low,Rodney,156.79965079365078
2025-10-01,Low,Waitakere,156.79965079365078
2025-11-01,Low,AucklandCity,156.79965079365078
2025-11-01,Low,Franklin,156.79965079365078
2025-11-01,Low,Manukau,156.79965079365078
2025-11-01,Low,NorthShore,156.79965079365078
2025-11-01,Low,Papakura,156.79965079365078
2025-11-01,Low,Rodney,156.79965079365078
2025-11-01,Low,Waitakere,156.79965079365078
2025-12-01,Low,AucklandCity,156.79965079365078
2025-12-01,Low,Franklin,156.79965079365078
2025-12-01,Low,Manukau,156.79965079365078
2025-12-01,Low,NorthShore,156.79965079365078
2025-12-01,Low,Papakura,156.79965079365078
2025-12-01,Low,Rodney,156.79965079365078
2025-12-01,Low,Waitakere,156.79965079365078
2026-01-01,Low,AucklandCity,156.79965079365078
2026-01-01,Low,Franklin,156.79965079365078
2026-01-01,Low,Manukau,156.79965079365078
2026-01-01,Low,NorthShore,156.79965079365078
2026-01-01,Low,Papakura,156.79965079365078
2026-01-01,Low,Rodney,156.79965079365078
2026-01-01,Low,Waitakere,156.79965079365078
2026-02-01,Low,AucklandCity,156.79965079365078
2026-02-01,Low,Franklin,156.79965079365078
2026-02-01,Low,Manukau,156.79965079365078
2026-02-01,Low,NorthShore,156.79965079365078
2026-02-01,Low,Papakura,156.79965079365078
2026-02-01,Low,Rodney,156.79965079365078
2026-02-01,Low,Waitakere,156.79965079365078
2026-03-01,Low,AucklandCity,156.79965079365078
2026-03-01,Low,Franklin,156.79965079365078
2026-03-01,Low,Manukau,156.79965079365078
2026-03-01,Low,NorthShore,156.79965079365078
2026-03-01,Low,Papakura,156.79965079365078
2026-03-01,Low,Rodney,156.79965079365078
2026-03-01,Low,Waitakere,156.79965079365078
2026-04-01,Low,AucklandCity,156.79965079365078
2026-04-01,Low,Franklin,156.79965079365078
2026-04-01,Low,Manukau,156.79965079365078
2026-04-01,Low,NorthShore,156.79965079365078
2026-04-01,Low,Papakura,156.79965079365078
2026-04-01,Low,Rodney,156.79965079365078
2026-04-01,Low,Waitakere,156.79965079365078
2026-05-01,Low,AucklandCity,156.79965079365078
2026-05-01,Low,Franklin,156.79965079365078
2026-05-01,Low,Manukau,156.79965079365078
2026-05-01,Low,NorthShore,156.79965079365078
2026-05-01,Low,Papakura,156.79965079365078
2026-05-01,Low,Rodney,156.79965079365078
2026-05-01,Low,Waitakere,156.79965079365078
2026-06-01,Low,AucklandCity,156.79965079365078
2026-06-01,Low,Franklin,156.79965079365078
2026-06-01,Low,Manukau,156.79965079365078
2026-06-01,Low,NorthShore,156.79965079365078
2026-06-01,Low,Papakura,156.79965079365078
2026-06-01,Low,Rodney,156.79965079365078
2026-06-01,Low,Waitakere,156.79965079365078
