Month,District,sales_count
2018-08,AucklandCity,592
2018-08,Franklin,74
2018-08,Manukau,391
2018-08,NorthShore,299
2018-08,Papakura,79
2018-08,Rodney,145
2018-08,Waitakere,257
2018-09,AucklandCity,503
2018-09,Franklin,80
2018-09,Manukau,345
2018-09,NorthShore,301
2018-09,Papakura,81
2018-09,Rodney,131
2018-09,Waitakere,274
2018-10,AucklandCity,663
2018-10,Franklin,78
2018-10,Manukau,400
2018-10,NorthShore,328
2018-10,Papakura,86
2018-10,Rodney,159
2018-10,Waitakere,314
2018-12,AucklandCity,444
2018-12,Franklin,64
2018-12,Manukau,295
2018-12,NorthShore,217
2018-12,Papakura,60
2018-12,Rodney,126
2018-12,Waitakere,206
2019-01,AucklandCity,351
2019-01,Franklin,72
2019-01,Manukau,214
2019-01,NorthShore,155
2019-01,Papakura,69
2019-01,Rodney,123
2019-01,Waitakere,196
2019-02,AucklandCity,477
2019-02,Franklin,70
2019-02,Manukau,246
2019-02,NorthShore,198
2019-02,Papakura,61
2019-02,Rodney,133
2019-02,Waitakere,205
2019-03,AucklandCity,678
2019-03,Franklin,82
2019-03,Manukau,403
2019-03,NorthShore,318
2019-03,Papakura,87
2019-03,Rodney,176
2019-03,Waitakere,339
2019-04,AucklandCity,580
2019-04,Franklin,65
2019-04,Manukau,316
2019-04,NorthShore,273
2019-04,Papakura,92
2019-04,Rodney,145
2019-04,Waitakere,254
2019-05,AucklandCity,627
2019-05,Franklin,88
2019-05,Manukau,367
2019-05,NorthShore,327
2019-05,Papakura,100
2019-05,Rodney,168
2019-05,Waitakere,324
2019-06,AucklandCity,572
2019-06,Franklin,81
2019-06,Manukau,397
2019-06,NorthShore,275
2019-06,Papakura,103
2019-06,Rodney,170
2019-06,Waitakere,280
2019-07,AucklandCity,605
2019-07,Franklin,80
2019-07,Manukau,412
2019-07,NorthShore,306
2019-07,Papakura,107
2019-07,Rodney,163
2019-07,Waitakere,296
2019-08,AucklandCity,529
2019-08,Franklin,89
2019-08,Manukau,383
2019-08,NorthShore,262
2019-08,Papakura,118
2019-08,Rodney,170
2019-08,Waitakere,260
2019-09,AucklandCity,571
2019-09,Franklin,97
2019-09,Manukau,401
2019-09,NorthShore,249
2019-09,Papakura,134
2019-09,Rodney,158
2019-09,Waitakere,256
2019-10,AucklandCity,602
2019-10,Franklin,98
2019-10,Manukau,394
2019-10,NorthShore,318
2019-10,Papakura,122
2019-10,Rodney,181
2019-10,Waitakere,310
2019-11,AucklandCity,764
2019-11,Franklin,103
2019-11,Manukau,451
2019-11,NorthShore,352
2019-11,Papakura,137
2019-11,Rodney,209
2019-11,Waitakere,380
2019-12,AucklandCity,566
2019-12,Franklin,83
2019-12,Manukau,339
2019-12,NorthShore,355
2019-12,Papakura,109
2019-12,Rodney,151
2019-12,Waitakere,329
2020-01,AucklandCity,352
2020-01,Franklin,66
2020-01,Manukau,223
2020-01,NorthShore,203
2020-01,Papakura,83
2020-01,Rodney,160
2020-01,Waitakere,256
2020-02,AucklandCity,617
2020-02,Franklin,104
2020-02,Manukau,394
2020-02,NorthShore,336
2020-02,Papakura,115
2020-02,Rodney,196
2020-02,Waitakere,284
2020-03,AucklandCity,769
2020-03,Franklin,106
2020-03,Manukau,477
2020-03,NorthShore,441
2020-03,Papakura,117
2020-03,Rodney,235
2020-03,Waitakere,409
2020-04,AucklandCity,172
2020-04,Franklin,22
2020-04,Manukau,92
2020-04,NorthShore,102
2020-04,Papakura,20
2020-04,Rodney,52
2020-04,Waitakere,78
2020-05,AucklandCity,382
2020-05,Franklin,48
2020-05,Manukau,208
2020-05,NorthShore,158
2020-05,Papakura,49
2020-05,Rodney,115
2020-05,Waitakere,212
2020-06,AucklandCity,672
2020-06,Franklin,96
2020-06,Manukau,344
2020-06,NorthShore,314
2020-06,Papakura,96
2020-06,Rodney,176
2020-06,Waitakere,356
2020-08,AucklandCity,828
2020-08,Franklin,114
2020-08,Manukau,538
2020-08,NorthShore,428
2020-08,Papakura,141
2020-08,Rodney,214
2020-08,Waitakere,426
2020-09,AucklandCity,898
2020-09,Franklin,130
2020-09,Manukau,571
2020-09,NorthShore,551
2020-09,Papakura,148
2020-09,Rodney,272
2020-09,Waitakere,426
2020-10,AucklandCity,1026
2020-10,Franklin,115
2020-10,Manukau,663
2020-10,NorthShore,466
2020-10,Papakura,173
2020-10,Rodney,296
2020-10,Waitakere,495
2020-11,AucklandCity,1263
2020-11,Franklin,136
2020-11,Manukau,779
2020-11,NorthShore,569
2020-11,Papakura,199
2020-11,Rodney,341
2020-11,Waitakere,570
2020-12,AucklandCity,967
2020-12,Franklin,126
2020-12,Manukau,817
2020-12,NorthShore,563
2020-12,Papakura,202
2020-12,Rodney,289
2020-12,Waitakere,561
2021-01,AucklandCity,504
2021-01,Franklin,102
2021-01,Manukau,402
2021-01,NorthShore,331
2021-01,Papakura,107
2021-01,Rodney,173
2021-01,Waitakere,332
2021-02,AucklandCity,857
2021-02,Franklin,112
2021-02,Manukau,622
2021-02,NorthShore,471
2021-02,Papakura,175
2021-02,Rodney,244
2021-02,Waitakere,431
2021-03,AucklandCity,1165
2021-03,Franklin,103
2021-03,Manukau,871
2021-03,NorthShore,646
2021-03,Papakura,222
2021-03,Rodney,295
2021-03,Waitakere,711
2021-04,AucklandCity,764
2021-04,Franklin,74
2021-04,Manukau,652
2021-04,NorthShore,428
2021-04,Papakura,133
2021-04,Rodney,226
2021-04,Waitakere,405
2021-05,AucklandCity,836
2021-05,Franklin,94
2021-05,Manukau,628
2021-05,NorthShore,422
2021-05,Papakura,142
2021-05,Rodney,277
2021-05,Waitakere,457
2021-06,AucklandCity,825
2021-06,Franklin,86
2021-06,Manukau,688
2021-06,NorthShore,416
2021-06,Papakura,162
2021-06,Rodney,238
2021-06,Waitakere,438
2021-07,AucklandCity,789
2021-07,Franklin,84
2021-07,Manukau,661
2021-07,NorthShore,397
2021-07,Papakura,163
2021-07,Rodney,230
2021-07,Waitakere,443
2021-08,AucklandCity,756
2021-08,Franklin,88
2021-08,Manukau,551
2021-08,NorthShore,336
2021-08,Papakura,117
2021-08,Rodney,171
2021-08,Waitakere,399
2021-09,AucklandCity,331
2021-09,Franklin,48
2021-09,Manukau,388
2021-09,NorthShore,180
2021-09,Papakura,95
2021-09,Rodney,99
2021-09,Waitakere,269
2021-10,AucklandCity,699
2021-10,Franklin,83
2021-10,Manukau,673
2021-10,NorthShore,421
2021-10,Papakura,124
2021-10,Rodney,211
2021-10,Waitakere,477
2021-11,AucklandCity,886
2021-11,Franklin,122
2021-11,Manukau,776
2021-11,NorthShore,483
2021-11,Papakura,179
2021-11,Rodney,261
2021-11,Waitakere,475
2021-12,AucklandCity,687
2021-12,Franklin,100
2021-12,Manukau,534
2021-12,NorthShore,428
2021-12,Papakura,108
2021-12,Rodney,199
2021-12,Waitakere,359
2022-01,AucklandCity,318
2022-01,Franklin,49
2022-01,Manukau,326
2022-01,NorthShore,205
2022-01,Papakura,57
2022-01,Rodney,199
2022-01,Waitakere,261
2022-02,AucklandCity,553
2022-02,Franklin,75
2022-02,Manukau,375
2022-02,NorthShore,265
2022-02,Papakura,80
2022-02,Rodney,199
2022-02,Waitakere,273
2022-03,AucklandCity,678
2022-03,Franklin,76
2022-03,Manukau,497
2022-03,NorthShore,383
2022-03,Papakura,123
2022-03,Rodney,199
2022-03,Waitakere,423
2022-04,AucklandCity,431
2022-04,Franklin,59
2022-04,Manukau,388
2022-04,NorthShore,252
2022-04,Papakura,80
2022-04,Rodney,199
2022-04,Waitakere,260
2022-05,AucklandCity,475
2022-05,Franklin,67
2022-05,Manukau,421
2022-05,NorthShore,302
2022-05,Papakura,96
2022-05,Rodney,199
2022-05,Waitakere,333
2022-06,AucklandCity,508
2022-06,Franklin,46
2022-06,Manukau,377
2022-06,NorthShore,246
2022-06,Papakura,93
2022-06,Rodney,199
2022-06,Waitakere,284
2022-07,AucklandCity,398
2022-07,Franklin,68
2022-07,Manukau,386
2022-07,NorthShore,216
2022-07,Papakura,64
2022-07,Rodney,199
2022-07,Waitakere,233
2022-08,AucklandCity,443
2022-08,Franklin,63
2022-08,Manukau,352
2022-08,NorthShore,218
2022-08,Papakura,64
2022-08,Rodney,154
2022-08,Waitakere,245
2022-09,AucklandCity,462
2022-09,Franklin,50
2022-09,Manukau,353
2022-09,NorthShore,325
2022-09,Papakura,66
2022-09,Rodney,167
2022-09,Waitakere,277
2022-10,AucklandCity,437
2022-10,Franklin,59
2022-10,Manukau,390
2022-10,NorthShore,250
2022-10,Papakura,69
2022-10,Rodney,158
2022-10,Waitakere,269
2022-11,AucklandCity,531
2022-11,Franklin,50
2022-11,Manukau,380
2022-11,NorthShore,311
2022-11,Papakura,91
2022-11,Rodney,154
2022-11,Waitakere,330
2022-12,AucklandCity,395
2022-12,Franklin,49
2022-12,Manukau,272
2022-12,NorthShore,228
2022-12,Papakura,74
2022-12,Rodney,134
2022-12,Waitakere,220
2023-01,AucklandCity,259
2023-01,Franklin,26
2023-01,Manukau,191
2023-01,NorthShore,139
2023-01,Papakura,44
2023-01,Rodney,109
2023-01,Waitakere,193
2023-02,AucklandCity,328
2023-02,Franklin,34
2023-02,Manukau,266
2023-02,NorthShore,164
2023-02,Papakura,45
2023-02,Rodney,81
2023-02,Waitakere,184
2023-03,AucklandCity,590
2023-03,Franklin,49
2023-03,Manukau,449
2023-03,NorthShore,305
2023-03,Papakura,81
2023-03,Rodney,179
2023-03,Waitakere,237
2023-04,AucklandCity,391
2023-04,Franklin,53
2023-04,Manukau,259
2023-04,NorthShore,212
2023-04,Papakura,58
2023-04,Rodney,120
2023-04,Waitakere,213
2023-05,AucklandCity,557
2023-05,Franklin,64
2023-05,Manukau,440
2023-05,NorthShore,249
2023-05,Papakura,87
2023-05,Rodney,171
2023-05,Waitakere,283
2023-06,AucklandCity,582
2023-06,Franklin,71
2023-06,Manukau,440
2023-06,NorthShore,296
2023-06,Papakura,105
2023-06,Rodney,204
2023-06,Waitakere,286
2023-07,AucklandCity,464
2023-07,Franklin,70
2023-07,Manukau,406
2023-07,NorthShore,244
2023-07,Papakura,83
2023-07,Rodney,185
2023-07,Waitakere,259
2023-08,AucklandCity,510
2023-08,Franklin,63
2023-08,Manukau,472
2023-08,NorthShore,289
2023-08,Papakura,97
2023-08,Rodney,173
2023-08,Waitakere,329
2023-09,AucklandCity,594
2023-09,Franklin,66
2023-09,Manukau,498
2023-09,NorthShore,313
2023-09,Papakura,106
2023-09,Rodney,202
2023-09,Waitakere,336
2023-10,AucklandCity,484
2023-10,Franklin,60
2023-10,Manukau,430
2023-10,NorthShore,285
2023-10,Papakura,88
2023-10,Rodney,179
2023-10,Waitakere,319
2023-11,AucklandCity,587
2023-11,Franklin,70
2023-11,Manukau,471
2023-11,NorthShore,324
2023-11,Papakura,111
2023-11,Rodney,198
2023-11,Waitakere,345
2023-12,AucklandCity,447
2023-12,Franklin,52
2023-12,Manukau,361
2023-12,NorthShore,238
2023-12,Papakura,67
2023-12,Rodney,153
2023-12,Waitakere,264
2024-01,AucklandCity,207
2024-01,Franklin,42
2024-01,Manukau,193
2024-01,NorthShore,136
2024-01,Papakura,50
2024-01,Rodney,130
2024-01,Waitakere,136
2024-02,AucklandCity,563
2024-02,Franklin,62
2024-02,Manukau,409
2024-02,NorthShore,289
2024-02,Papakura,88
2024-02,Rodney,152
2024-02,Waitakere,265
2024-03,AucklandCity,709
2024-03,Franklin,75
2024-03,Manukau,456
2024-03,NorthShore,325
2024-03,Papakura,102
2024-03,Rodney,191
2024-03,Waitakere,294
2024-04,AucklandCity,581
2024-04,Franklin,65
2024-04,Manukau,356
2024-04,NorthShore,299
2024-04,Papakura,89
2024-04,Rodney,168
2024-04,Waitakere,290
2024-05,AucklandCity,553
2024-05,Franklin,69
2024-05,Manukau,470
2024-05,NorthShore,307
2024-05,Papakura,105
2024-05,Rodney,175
2024-05,Waitakere,307
2024-06,AucklandCity,405
2024-06,Franklin,62
2024-06,Manukau,356
2024-06,NorthShore,222
2024-06,Papakura,73
2024-06,Rodney,154
2024-06,Waitakere,234
2024-07,AucklandCity,503
2024-07,Franklin,82
2024-07,Manukau,459
2024-07,NorthShore,292
2024-07,Papakura,101
2024-07,Rodney,159
2024-07,Waitakere,312
2024-08,AucklandCity,507
2024-08,Franklin,80
2024-08,Manukau,450
2024-08,NorthShore,319
2024-08,Papakura,101
2024-08,Rodney,187
2024-08,Waitakere,341
2024-09,AucklandCity,491
2024-09,Franklin,68
2024-09,Manukau,482
2024-09,NorthShore,317
2024-09,Papakura,114
2024-09,Rodney,203
2024-09,Waitakere,364
2024-10,AucklandCity,625
2024-10,Franklin,78
2024-10,Manukau,572
2024-10,NorthShore,330
2024-10,Papakura,99
2024-10,Rodney,204
2024-10,Waitakere,364
2024-11,AucklandCity,637
2024-11,Franklin,73
2024-11,Manukau,557
2024-11,NorthShore,384
2024-11,Papakura,101
2024-11,Rodney,205
2024-11,Waitakere,375
2024-12,AucklandCity,486
2024-12,Franklin,82
2024-12,Manukau,393
2024-12,NorthShore,339
2024-12,Papakura,54
2024-12,Rodney,182
2024-12,Waitakere,273
2025-01,AucklandCity,213
2025-01,Franklin,64
2025-01,Manukau,248
2025-01,NorthShore,129
2025-01,Papakura,39
2025-01,Rodney,131
2025-01,Waitakere,162
2025-02,AucklandCity,512
2025-02,Franklin,93
2025-02,Manukau,419
2025-02,NorthShore,306
2025-02,Papakura,70
2025-02,Rodney,199
2025-02,Waitakere,281
2025-03,AucklandCity,697
2025-03,Franklin,86
2025-03,Manukau,577
2025-03,NorthShore,406
2025-03,Papakura,60
2025-03,Rodney,244
2025-03,Waitakere,358
2025-04,AucklandCity,588
2025-04,Franklin,89
2025-04,Manukau,465
2025-04,NorthShore,345
2025-04,Papakura,66
2025-04,Rodney,170
2025-04,Waitakere,342
2025-05,AucklandCity,587
2025-05,Franklin,106
2025-05,Manukau,514
2025-05,NorthShore,344
2025-05,Papakura,66
2025-05,Rodney,221
2025-05,Waitakere,333
2025-06,AucklandCity,518
2025-06,Franklin,90
2025-06,Manukau,412
2025-06,NorthShore,282
2025-06,Papakura,63
2025-06,Rodney,182
2025-06,Waitakere,274
2025-07,AucklandCity,536
2025-07,Franklin,72
2025-07,Manukau,480
2025-07,NorthShore,317
2025-07,Papakura,70
2025-07,Rodney,201
2025-07,Waitakere,359
2025-08,AucklandCity,502
2025-08,Franklin,117
2025-08,Manukau,428
2025-08,NorthShore,310
2025-08,Papakura,62
2025-08,Rodney,159
2025-08,Waitakere,315
2025-09,AucklandCity,524
2025-09,Franklin,107
2025-09,Manukau,479
2025-09,NorthShore,353
2025-09,Papakura,70
2025-09,Rodney,193
2025-09,Waitakere,315
